device,model,horizon_h,threshold_mm,subset,n,mae,rmse,skill_vs_persistence,skill_fold_min,gate_fired_frac
SE01-LS-1,gated_wb,24,5.0,all,1383,0.3028,0.5418,-0.0744,-2.3994,0.0513
SE01-LS-1,gated_wb_selected,24,,all,1383,0.3028,0.5418,-0.0744,-2.3994,0.0513
SE01-LS-1,gated_wb,24,0.5,fired,86,1.6614,1.903,-0.2677,-16.007,0.0622
SE01-LS-1,gated_wb,24,1.0,fired,86,1.6614,1.903,-0.2677,-16.007,0.0622
SE01-LS-1,gated_wb,24,2.0,fired,83,1.7075,1.9355,-0.271,-16.007,0.06
SE01-LS-1,gated_wb,24,5.0,fired,71,1.9378,2.0869,-0.267,-17.8053,0.0513
SE01-LS-1,gated_wb_selected,24,,fired,71,1.9378,2.0869,-0.267,-17.8053,0.0513
SE01-LS-1,persistence,48,,event,60,2.6176,3.024,0.0,0.0,
SE01-LS-1,gated_wb,48,0.5,event,60,0.9802,1.1654,0.6255,0.6255,0.1325
SE01-LS-1,gated_wb,48,1.0,event,60,0.9802,1.1654,0.6255,0.6255,0.1295
SE01-LS-1,gated_wb,48,2.0,event,60,0.9802,1.1654,0.6255,0.6255,0.1251
SE01-LS-1,gated_wb,48,5.0,event,60,0.9818,1.1664,0.6249,0.6249,0.0846
SE01-LS-1,gated_wb_selected,48,,event,60,0.9818,1.1664,0.6249,0.6249,0.0846
SE01-LS-1,persistence,48,,quiet,1299,0.4238,0.5611,0.0,0.0,
SE01-LS-1,gated_wb,48,0.5,quiet,1299,0.4425,0.5387,-0.0442,-0.5091,0.1325
SE01-LS-1,gated_wb,48,1.0,quiet,1299,0.4429,0.539,-0.0452,-0.5091,0.1295
SE01-LS-1,gated_wb,48,2.0,quiet,1299,0.4435,0.5394,-0.0467,-0.5045,0.1251
SE01-LS-1,gated_wb,48,5.0,quiet,1299,0.4386,0.5362,-0.035,-0.5041,0.0846
SE01-LS-1,gated_wb_selected,48,,quiet,1299,0.4386,0.5362,-0.035,-0.5041,0.0846
SE01-LS-1,persistence,48,,all,1359,0.5206,0.8395,0.0,0.0,
SE01-LS-1,gated_wb,48,0.5,all,1359,0.4662,0.5808,0.1045,-0.5091,0.1325
SE01-LS-1,gated_wb,48,1.0,all,1359,0.4666,0.5811,0.1037,-0.5091,0.1295
SE01-LS-1,gated_wb,48,2.0,all,1359,0.4672,0.5814,0.1026,-0.5045,0.1251
SE01-LS-1,gated_wb,48,5.0,all,1359,0.4626,0.5787,0.1115,-0.5041,0.0846
SE01-LS-1,gated_wb_selected,48,,all,1359,0.4626,0.5787,0.1115,-0.5041,0.0846
SE01-LS-1,gated_wb,48,0.5,fired,180,0.7426,0.8768,0.3561,-5.6828,0.1325
SE01-LS-1,gated_wb,48,1.0,fired,176,0.7545,0.886,0.3559,-5.6828,0.1295
SE01-LS-1,gated_wb,48,2.0,fired,170,0.7715,0.8991,0.3562,-6.0243,0.1251
SE01-LS-1,gated_wb,48,5.0,fired,115,0.9438,1.0513,0.4209,-6.4555,0.0846
SE01-LS-1,gated_wb_selected,48,,fired,115,0.9438,1.0513,0.4209,-6.4555,0.0846
SE01-LS-2,persistence,6,,event,60,0.9313,1.7088,0.0,0.0,
SE01-LS-2,gated_wb,6,0.5,event,60,0.9313,1.7088,0.0,0.0,0.0343
