model,horizon_h,n,mae,skill_vs_persistence_pct,skill_fold_median_pct,skill_fold_min_pct
pooled_gbt,6,7005,0.14282484311669433,-45.109365036548965,-2.3701975946917253,-76.56482421120718
pooled_gbt,12,6975,0.24043461733217486,-52.20759174668783,0.8345480199688837,-86.94233663016058
pooled_gbt,24,6915,0.15841485940071767,33.02399663606178,10.692823368571148,-4.246526367912873
pooled_gbt,48,6795,0.2972580334727778,30.18550774148916,19.936639882981744,-35.50565819753449
pooled_ridge,6,6830,0.1755292634543894,-76.92565698329945,-86.81024270119993,-183.4363333502277
pooled_ridge,12,6800,0.3012092182536107,-89.00263194944688,-155.95536340546462,-325.3696065812093
pooled_ridge,24,6740,0.41857566721098227,-75.50962724078443,-124.66134298796638,-411.1887410157882
pooled_ridge,48,6645,0.5763783113574243,-34.586965585283316,-76.8758776149302,-280.6419121619504
