device,model,horizon_h,n,mae,rmse,precision,recall,skill_fold_median,skill_fold_min,skill_vs_persistence
SE01-LS-3,persistence,24,1354,0.284,0.695,0.996,0.996,0.0,0.0,0.0
SE01-LS-3,seasonal_naive,24,1354,0.284,0.695,0.996,0.996,0.0,0.0,0.0
SE01-LS-3,drydown,24,1354,0.315,1.071,0.996,0.982,-0.179,-0.268,-0.11
SE01-LS-3,climatology,24,1354,5.637,6.57,0.996,1.0,-86.28,-227.594,-18.845
SE01-LS-3,diurnal_drift_temp,48,1335,0.459,0.886,0.996,0.998,0.137,-0.799,0.091
SE01-LS-3,diurnal_drift,48,1335,0.475,0.884,0.996,0.996,0.093,-0.259,0.059
SE01-LS-3,persistence,48,1335,0.505,0.892,0.996,0.996,0.0,0.0,0.0
SE01-LS-3,seasonal_naive,48,1335,0.505,0.892,0.996,0.996,0.0,0.0,0.0
SE01-LS-3,drydown,48,1335,0.599,1.754,0.996,0.982,-0.281,-1.214,-0.187
SE01-LS-3,climatology,48,1335,5.625,6.571,0.996,1.0,-46.441,-124.002,-10.145
SE01-LS-4,persistence,6,1367,0.08,0.304,0.989,0.984,0.0,0.0,0.0
SE01-LS-4,drydown,6,1367,0.1,0.352,0.961,0.996,-0.146,-0.398,-0.247
SE01-LS-4,diurnal_drift_temp,6,1367,0.103,0.336,0.989,0.988,-0.121,-0.569,-0.278
SE01-LS-4,diurnal_drift,6,1367,0.158,0.32,0.966,0.973,-1.51,-2.88,-0.975
SE01-LS-4,seasonal_naive,6,1367,0.203,0.515,0.978,0.957,-1.574,-1.862,-1.537
SE01-LS-4,climatology,6,1367,2.894,3.469,0.823,1.0,-56.277,-143.012,-35.077
SE01-LS-4,persistence,12,1361,0.131,0.428,0.981,0.971,0.0,0.0,0.0
SE01-LS-4,diurnal_drift_temp,12,1361,0.16,0.472,0.989,0.978,0.166,-0.54,-0.225
SE01-LS-4,drydown,12,1361,0.167,0.564,0.96,0.997,-0.135,-0.445,-0.281
SE01-LS-4,seasonal_naive,12,1361,0.204,0.516,0.978,0.957,-0.564,-0.774,-0.559
SE01-LS-4,diurnal_drift,12,1361,0.226,0.447,0.963,0.965,-1.26,-2.064,-0.73
SE01-LS-4,climatology,12,1361,2.901,3.478,0.822,1.0,-37.886,-89.585,-21.222
SE01-LS-4,diurnal_drift,24,1354,0.149,0.51,0.97,0.998,0.388,0.156,0.268
SE01-LS-4,diurnal_drift_temp,24,1354,0.184,0.513,0.978,0.947,0.219,-0.064,0.094
SE01-LS-4,persistence,24,1354,0.203,0.517,0.978,0.957,0.0,0.0,0.0
SE01-LS-4,seasonal_naive,24,1354,0.203,0.517,0.978,0.957,0.0,0.0,0.0
SE01-LS-4,drydown,24,1354,0.242,0.84,0.946,0.999,-0.101,-0.524,-0.192
SE01-LS-4,climatology,24,1354,2.911,3.492,0.821,1.0,-21.524,-60.68,-13.334
SE01-LS-4,diurnal_drift,48,1335,0.216,0.581,0.949,0.997,0.522,0.196,0.369
SE01-LS-4,diurnal_drift_temp,48,1335,0.331,0.604,0.952,0.864,0.255,-1.408,0.033
SE01-LS-4,persistence,48,1335,0.342,0.606,0.954,0.912,0.0,0.0,0.0
SE01-LS-4,seasonal_naive,48,1335,0.342,0.606,0.954,0.912,0.0,0.0,0.0
SE01-LS-4,drydown,48,1335,0.422,1.33,0.898,1.0,0.321,-0.757,-0.236
SE01-LS-4,climatology,48,1335,2.933,3.522,0.819,1.0,-11.285,-31.843,-7.586
SE0X-LS-1,persistence,6,1367,0.065,0.136,1.0,1.0,0.0,0.0,0.0
SE0X-LS-1,drydown,6,1367,0.066,0.152,1.0,1.0,-0.012,-0.08,-0.02
SE0X-LS-1,diurnal_drift_temp,6,1367,0.127,0.299,1.0,1.0,-0.117,-2.075,-0.967
SE0X-LS-1,seasonal_naive,6,1367,0.154,0.302,1.0,1.0,-0.734,-2.223,-1.38
SE0X-LS-1,diurnal_drift,6,1367,0.324,0.405,1.0,1.0,-3.448,-6.844,-3.999
SE0X-LS-1,climatology,6,1367,4.844,5.209,1.0,1.0,-105.076,-139.339,-73.808
SE0X-LS-1,drydown,12,1361,0.1,0.262,1.0,1.0,0.034,-0.071,0.002
SE0X-LS-1,persistence,12,1361,0.1,0.213,1.0,1.0,0.0,0.0,0.0
SE0X-LS-1,seasonal_naive,12,1361,0.154,0.302,1.0,1.0,-0.363,-0.798,-0.538
SE0X-LS-1,diurnal_drift_temp,12,1361,0.194,0.417,1.0,1.0,-0.24,-1.649,-0.941
SE0X-LS-1,diurnal_drift,12,1361,0.419,0.489,1.0,1.0,-3.298,-6.368,-3.178
SE0X-LS-1,climatology,12,1361,4.848,5.214,1.0,1.0,-80.411,-112.213,-47.404
SE0X-LS-1,drydown,24,1354,0.141,0.422,1.0,1.0,0.237,-0.215,0.083
SE0X-LS-1,persistence,24,1354,0.154,0.303,1.0,1.0,0.0,0.0,0.0
SE0X-LS-1,seasonal_naive,24,1354,0.154,0.303,1.0,1.0,0.0,0.0,0.0
SE0X-LS-1,diurnal_drift_temp,24,1354,0.189,0.379,1.0,1.0,-0.224,-0.429,-0.224
SE0X-LS-1,diurnal_drift,24,1354,0.259,0.393,1.0,1.0,-1.147,-2.776,-0.682
SE0X-LS-1,climatology,24,1354,4.859,5.226,1.0,1.0,-68.499,-116.266,-30.515
SE0X-LS-1,drydown,48,1335,0.268,0.736,1.0,0.999,0.21,-0.21,0.087
SE0X-LS-1,persistence,48,1335,0.293,0.438,1.0,1.0,0.0,0.0,0.0
SE0X-LS-1,seasonal_naive,48,1335,0.293,0.438,1.0,1.0,0.0,0.0,0.0
SE0X-LS-1,diurnal_drift_temp,48,1335,0.35,0.641,1.0,1.0,-0.169,-0.498,-0.193
SE0X-LS-1,diurnal_drift,48,1335,0.518,0.668,1.0,1.0,-1.174,-3.211,-0.767
SE0X-LS-1,climatology,48,1335,4.874,5.245,1.0,1.0,-34.331,-62.993,-15.615
