device,fold,model,n,n_event,n_censored,ibs,brier_6h,brier_12h,brier_24h,brier_48h,skill_vs_km-train,skill_vs_drydown-clock,skill_vs_gauss-continuous
SE01-LS-2,2,drydown-clock,389,74,39,0.046373,0.000000,0.000000,0.005464,0.208524,0.713789,0.000000,0.269143
SE01-LS-2,2,fhs-discrete,389,74,39,0.048145,0.000039,0.000607,0.014113,0.172488,0.702849,-0.038224,0.241207
SE01-LS-2,2,fhs-hazard-blend,389,74,39,0.059015,0.000422,0.002088,0.019241,0.200042,0.635761,-0.272623,0.069894
SE01-LS-2,2,gauss-continuous,389,74,39,0.063450,0.000106,0.003225,0.033398,0.192114,0.608390,-0.368257,0.000000
SE01-LS-2,2,gauss-discrete,389,74,39,0.055960,0.000040,0.001774,0.024755,0.180456,0.654615,-0.206748,0.118040
SE01-LS-2,2,hazard-glm,389,74,39,0.077863,0.001380,0.005175,0.027503,0.247180,0.519431,-0.679072,-0.227161
SE01-LS-2,2,km-train,389,74,39,0.162023,0.005946,0.021125,0.089110,0.442385,0.000000,-2.493924,-1.553558
SE01-LS-2,3,drydown-clock,402,135,0,0.087998,0.000000,0.000000,0.004975,0.335821,0.320517,0.000000,-0.227588
SE01-LS-2,3,fhs-discrete,402,135,0,0.067837,0.000001,0.000077,0.008681,0.226218,0.476187,0.229100,0.053652
SE01-LS-2,3,fhs-hazard-blend,402,135,0,0.067346,0.000203,0.000970,0.012687,0.219731,0.479979,0.234681,0.060503
SE01-LS-2,3,gauss-continuous,402,135,0,0.071683,0.000000,0.000366,0.019552,0.223452,0.446490,0.185395,0.000000
SE01-LS-2,3,gauss-discrete,402,135,0,0.069292,0.000000,0.000173,0.014443,0.222942,0.464955,0.212569,0.033359
SE01-LS-2,3,hazard-glm,402,135,0,0.071440,0.000770,0.002948,0.018240,0.224316,0.448372,0.188165,0.003400
SE01-LS-2,3,km-train,402,135,0,0.129507,0.004622,0.016451,0.070667,0.339150,0.000000,-0.471708,-0.806651
SE01-LS-2,4,drydown-clock,71,0,47,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,1.000000
SE01-LS-2,4,fhs-discrete,71,0,47,0.014166,0.000000,0.000008,0.001824,0.072542,0.883867,,0.434507
SE01-LS-2,4,fhs-hazard-blend,71,0,47,0.023234,0.000109,0.000474,0.004398,0.101533,0.809527,,0.072518
SE01-LS-2,4,gauss-continuous,71,0,47,0.025051,0.000000,0.000023,0.006161,0.107297,0.794635,,0.000000
SE01-LS-2,4,gauss-discrete,71,0,47,0.019346,0.000000,0.000010,0.003961,0.087264,0.841400,,0.227720
SE01-LS-2,4,hazard-glm,71,0,47,0.035126,0.000431,0.001668,0.008099,0.135482,0.712033,,-0.402219
SE01-LS-2,4,km-train,71,0,47,0.121981,0.003556,0.012647,0.052709,0.405190,0.000000,,-3.869372
SE01-LS-3,0,drydown-clock,403,380,0,0.617608,0.136476,0.330025,0.702233,0.942928,-1.402620,0.000000,-1.824265
SE01-LS-3,0,fhs-discrete,403,380,0,0.166655,0.204960,0.289305,0.211153,0.071953,0.351678,0.730161,0.237902
SE01-LS-3,0,fhs-hazard-blend,403,380,0,0.141751,0.129544,0.210613,0.222295,0.058988,0.448562,0.770484,0.351787
SE01-LS-3,0,gauss-continuous,403,380,0,0.218679,0.409394,0.409317,0.228098,0.055709,0.149294,0.645926,0.000000
SE01-LS-3,0,gauss-discrete,403,380,0,0.179239,0.262556,0.316522,0.212278,0.068972,0.302724,0.709785,0.180357
SE01-LS-3,0,hazard-glm,403,380,0,0.141755,0.110884,0.189754,0.261063,0.052848,0.448543,0.770477,0.351766
SE01-LS-3,0,km-train,403,380,0,0.257056,0.125319,0.260434,0.410756,0.136668,0.000000,0.583788,-0.175494
SE01-LS-3,1,drydown-clock,144,124,18,0.528376,0.092813,0.240656,0.603265,0.980002,-1.704696,0.000000,-1.761252
SE01-LS-3,1,fhs-discrete,144,124,18,0.175446,0.097100,0.208363,0.245591,0.078476,0.101912,0.667952,0.083132
SE01-LS-3,1,fhs-hazard-blend,144,124,18,0.170099,0.086298,0.178027,0.268077,0.068634,0.129283,0.678072,0.111076
