device,model,horizon_h,n,crps,crps_skill,crps_skill_fold_median,crps_skill_fold_min,pinball_p05,pinball_p25,pinball_p50,pinball_p75,pinball_p95,cov50,cov90
SE01-LS-3,climatology-ensemble,6,1401,4.4641,-32.8324,-78.164,-87.2125,1.4995,3.1677,3.0758,1.8502,0.4642,0.237,0.3726
SE01-LS-3,gaussian-ewma,12,1395,0.1713,0.1797,0.2915,0.115,0.0297,0.074,0.1044,0.1175,0.069,0.6409,0.9455
SE01-LS-3,gaussian-fixed,12,1395,0.1857,0.1108,0.0088,-0.1079,0.0402,0.0856,0.1044,0.1264,0.0754,0.848,0.9692
SE01-LS-3,persistence-point,12,1395,0.2088,0.0,0.0,0.0,0.1293,0.1182,0.1044,0.0906,0.0795,0.0,0.0
SE01-LS-3,climatology-ensemble,12,1395,4.467,-20.3905,-54.4808,-67.2475,1.495,3.1684,3.0769,1.8472,0.4654,0.2373,0.3713
SE01-LS-3,gaussian-ewma,24,1383,0.2329,0.1735,0.2008,0.1492,0.04,0.0837,0.1409,0.178,0.099,0.7101,0.9472
SE01-LS-3,gaussian-fixed,24,1383,0.2666,0.0539,-0.4809,-2.5657,0.0559,0.1107,0.1409,0.1962,0.1132,0.8294,0.9675
SE01-LS-3,persistence-point,24,1383,0.2818,0.0,0.0,0.0,0.1917,0.1691,0.1409,0.1126,0.0901,0.0029,0.0029
SE01-LS-3,climatology-ensemble,24,1383,4.4675,-14.855,-68.0758,-155.3196,1.4784,3.1711,3.0733,1.8473,0.4649,0.2415,0.3738
SE01-LS-3,gaussian-ewma,48,1359,0.3816,0.2395,0.2566,0.1601,0.0653,0.1305,0.2509,0.301,0.1246,0.7035,0.961
SE01-LS-3,gaussian-fixed,48,1359,0.4349,0.1333,-0.3047,-2.1861,0.0744,0.1811,0.2509,0.3191,0.163,0.6983,0.9507
SE01-LS-3,persistence-point,48,1359,0.5018,0.0,0.0,0.0,0.3531,0.3077,0.2509,0.1941,0.1486,0.0007,0.0007
SE01-LS-3,climatology-ensemble,48,1359,4.4617,-7.8921,-36.6615,-85.2687,1.4456,3.1754,3.063,1.8399,0.4626,0.2458,0.3812
SE01-LS-4,gaussian-ewma,6,1401,0.0725,0.094,0.1752,0.0176,0.0177,0.0365,0.04,0.0455,0.0287,0.7031,0.8687
