device,horizon_h,n,mae_persistence,mae_water_balance,skill_vs_persistence_pct,skill_fold_min_pct,recall_persistence,recall_water_balance
SE01-LS-1,6,1367.0,0.10467880052116413,0.10509729955646233,-0.3997934951629256,-1.0487182699563613,1.0,1.0
SE01-LS-2,6,1367.0,0.11342267709978299,0.11382413112453581,-0.35394511487296665,-2.6526582032441848,0.9909159727479182,0.9909159727479182
SE01-LS-3,6,1367.0,0.13252633491111007,0.13252633491111007,0.0,0.0,0.9963289280469897,0.9963289280469897
SE01-LS-4,6,1367.0,0.08020769825137096,0.08047275008141858,-0.3304568461956592,-0.748219589141752,0.984,0.984
SE0X-LS-1,6,1367.0,0.06475648882156387,0.06498714939150481,-0.35619684473091606,-0.8337269468345676,1.0,1.0
SE01-LS-1,12,1361.0,0.17680747393760424,0.17782892328471572,-0.5777184212653497,-5.7341790519371605,1.0,1.0
SE01-LS-2,12,1361.0,0.17843349898373428,0.17733674762104465,0.6146555265329479,0.0,0.9847908745247148,0.9847908745247148
SE01-LS-3,12,1361.0,0.21038880377216804,0.21069935825002353,-0.14760979305334931,-2.1792428648011564,0.9963126843657817,0.9963126843657817
SE01-LS-4,12,1361.0,0.13053390365334724,0.13073533935337106,-0.15431676705137676,-0.5144039429961555,0.9705093833780161,0.9705093833780161
SE0X-LS-1,12,1361.0,0.10016405440859333,0.10014996367282408,0.014067657157490476,-5.683467824840438,1.0,1.0
SE01-LS-1,24,1354.0,0.28334279658206496,0.27999366977968115,1.1820052751592702,-13.919873856403564,1.0,1.0
SE01-LS-2,24,1354.0,0.26519519547169085,0.2778582692517174,-4.775001205245566,-26.918946120831187,0.981651376146789,0.9755351681957186
SE01-LS-3,24,1354.0,0.2840724800506434,0.2994389768515587,-5.409357780160828,-20.63050117135552,0.9962935507783544,0.9896219421793921
SE01-LS-4,24,1354.0,0.20310330085241612,0.19753308448150417,2.74255334479252,0.0,0.9568345323741008,0.9568345323741008
SE0X-LS-1,24,1354.0,0.15417660377781908,0.152200505753843,1.2817106977033976,-10.678496380783532,1.0,1.0
SE01-LS-1,48,1335.0,0.5229399252484594,0.4737678192979322,9.40301238754424,-34.09632597540182,1.0,1.0
SE01-LS-2,48,1335.0,0.4748588057007106,0.42948963068795193,9.554245276300833,-32.25163283779426,0.9689681923972071,0.9619860356865787
SE01-LS-3,48,1335.0,0.504724807957261,0.46784740757696835,7.306437052211512,-14.8017084993614,0.9962406015037594,0.9894736842105263
SE01-LS-4,48,1335.0,0.3416473395620365,0.3034631001920032,11.176507160565741,-9.730126319594978,0.9121683440073193,0.9075937785910339
SE0X-LS-1,48,1335.0,0.29335253892791463,0.2829403704839542,3.549370488495751,-20.050804509581187,1.0,1.0
