device,barrier,horizon_h,cost_ratio,boundary_sigmas,sigma_median,boundary_level,premium_level
SE01-LS-4,0.300000,6,0.050000,4.629632,0.012725,0.358913,0.058913
SE01-LS-4,0.300000,12,0.050000,5.969242,0.012725,0.375959,0.075959
SE01-LS-4,0.300000,24,0.050000,5.997815,0.012725,0.376323,0.076323
SE01-LS-4,0.300000,48,0.050000,6.006315,0.012725,0.376431,0.076431
SE01-LS-4,0.300000,6,0.100000,3.677593,0.012725,0.346798,0.046798
SE01-LS-4,0.300000,12,0.100000,5.311736,0.012725,0.367593,0.067593
SE01-LS-4,0.300000,24,0.100000,5.981965,0.012725,0.376121,0.076121
SE01-LS-4,0.300000,48,0.100000,6.003675,0.012725,0.376398,0.076398
SE01-LS-4,0.300000,6,0.200000,2.637455,0.012725,0.333562,0.033562
SE01-LS-4,0.300000,12,0.200000,4.182713,0.012725,0.353226,0.053226
SE01-LS-4,0.300000,24,0.200000,5.930452,0.012725,0.375466,0.075466
SE01-LS-4,0.300000,48,0.200000,5.996050,0.012725,0.376301,0.076301
SE01-LS-4,0.300000,6,0.300000,2.064129,0.012725,0.326266,0.026266
SE01-LS-4,0.300000,12,0.300000,3.423288,0.012725,0.343562,0.043562
SE01-LS-4,0.300000,24,0.300000,4.963724,0.012725,0.363164,0.063164
SE01-LS-4,0.300000,48,0.300000,5.984589,0.012725,0.376155,0.076155
SE01-LS-4,0.300000,6,0.500000,1.418498,0.012725,0.318051,0.018051
SE01-LS-4,0.300000,12,0.500000,2.486459,0.012725,0.331641,0.031641
SE01-LS-4,0.300000,24,0.500000,3.900038,0.012725,0.349628,0.049628
SE01-LS-4,0.300000,48,0.500000,5.941617,0.012725,0.375608,0.075608
SE0X-LS-1,0.300000,6,0.020000,4.368415,0.022252,0.397207,0.097207
SE0X-LS-1,0.300000,12,0.020000,4.419172,0.022252,0.398336,0.098336
SE0X-LS-1,0.300000,24,0.020000,4.436474,0.022252,0.398721,0.098721
SE0X-LS-1,0.300000,48,0.020000,4.445417,0.022252,0.398920,0.098920
SE0X-LS-1,0.300000,6,0.050000,3.095044,0.022252,0.368872,0.068872
SE0X-LS-1,0.300000,12,0.050000,4.209926,0.022252,0.393680,0.093680
SE0X-LS-1,0.300000,24,0.050000,4.408556,0.022252,0.398100,0.098100
SE0X-LS-1,0.300000,48,0.050000,4.434008,0.022252,0.398666,0.098666
SE0X-LS-1,0.300000,6,0.100000,2.575231,0.022252,0.357305,0.057305
SE0X-LS-1,0.300000,12,0.100000,3.098848,0.022252,0.368956,0.068956
SE0X-LS-1,0.300000,24,0.100000,4.266842,0.022252,0.394947,0.094947
SE0X-LS-1,0.300000,48,0.100000,4.411963,0.022252,0.398176,0.098176
SE0X-LS-1,0.300000,6,0.200000,1.999654,0.022252,0.344497,0.044497
SE0X-LS-1,0.300000,12,0.200000,2.540848,0.022252,0.356539,0.056539
SE0X-LS-1,0.300000,24,0.200000,3.089877,0.022252,0.368757,0.068757
SE0X-LS-1,0.300000,48,0.200000,4.327898,0.022252,0.396305,0.096305
SE0X-LS-1,0.300000,6,0.300000,1.572328,0.022252,0.334988,0.034988
SE0X-LS-1,0.300000,12,0.300000,2.204830,0.022252,0.349062,0.049062
SE0X-LS-1,0.300000,24,0.300000,2.699925,0.022252,0.360079,0.060079
SE0X-LS-1,0.300000,48,0.300000,3.461816,0.022252,0.377033,0.077033
SE0X-LS-1,0.300000,6,0.500000,0.979189,0.022252,0.321789,0.021789
SE0X-LS-1,0.300000,12,0.500000,1.514828,0.022252,0.333708,0.033708
SE0X-LS-1,0.300000,24,0.500000,2.164743,0.022252,0.348170,0.048170
SE0X-LS-1,0.300000,48,0.500000,2.705405,0.022252,0.360201,0.060201
