device,model,horizon_h,n,crps,crps_skill,crps_skill_fold_median,crps_skill_fold_min,ceiling,efficiency,efficiency_fold_min,ceiling_oracle,efficiency_oracle,cov50,cov90
SE01-LS-3,fhs-adaptive,12,1395,0.1532,0.2664,0.2764,0.248,0.2183,1.2206,1.1622,0.3083,0.8642,0.367,0.8638
SE01-LS-3,fhs-ewma,12,1395,0.1552,0.257,0.2852,0.2283,0.2183,1.1776,1.0698,0.3083,0.8338,0.481,0.9484
SE01-LS-3,gaussian-ewma,12,1395,0.1713,0.1797,0.2915,0.115,0.2183,0.8233,0.5388,0.3083,0.5829,0.6409,0.9455
SE01-LS-3,persistence-point,12,1395,0.2088,0.0,0.0,0.0,0.2183,0.0,0.0,0.3083,0.0,0.0,0.0
SE01-LS-3,fhs-adaptive,24,1383,0.182,0.3541,0.3724,0.3074,0.262,1.3514,1.2231,0.4142,0.8549,0.4425,0.8742
SE01-LS-3,fhs-ewma,24,1383,0.1888,0.33,0.3379,0.2894,0.262,1.2596,1.1517,0.4142,0.7968,0.5249,0.9313
SE01-LS-3,gaussian-ewma,24,1383,0.2329,0.1735,0.2008,0.1492,0.262,0.6622,0.5935,0.4142,0.4189,0.7101,0.9472
SE01-LS-3,persistence-point,24,1383,0.2818,0.0,0.0,0.0,0.262,0.0,0.0,0.4142,0.0,0.0029,0.0029
SE01-LS-3,fhs-adaptive,48,1359,0.3057,0.3907,0.3802,0.3241,0.2831,1.3799,1.1982,0.5016,0.7788,0.4312,0.9316
SE01-LS-3,fhs-ewma,48,1359,0.319,0.3643,0.3764,0.2387,0.2831,1.2869,0.8185,0.5016,0.7263,0.5806,0.9757
SE01-LS-3,gaussian-ewma,48,1359,0.3816,0.2395,0.2566,0.1601,0.2831,0.8459,0.5491,0.5016,0.4774,0.7035,0.961
SE01-LS-3,persistence-point,48,1359,0.5018,0.0,0.0,0.0,0.2831,0.0,0.0,0.5016,0.0,0.0007,0.0007
SE01-LS-4,fhs-adaptive,6,1401,0.0656,0.1802,0.1998,0.1464,0.1121,1.6073,1.3361,0.2079,0.867,0.3305,0.853
SE01-LS-4,fhs-ewma,6,1401,0.0665,0.169,0.2202,0.1202,0.1121,1.507,1.0967,0.2079,0.8129,0.4111,0.9322
SE01-LS-4,gaussian-ewma,6,1401,0.0725,0.094,0.1752,0.0176,0.1121,0.8378,0.1602,0.2079,0.4519,0.7031,0.8687
SE01-LS-4,persistence-point,6,1401,0.08,0.0,0.0,0.0,0.1121,0.0,0.0,0.2079,0.0,0.0771,0.0771
