device,model,horizon_h,subset,n,mae,rmse,skill_vs_persistence
SE01-LS-3,persistence,6,quiet,1336,0.0892,0.1223,0.0
SE01-LS-3,diurnal_drift,6,quiet,1336,0.0969,0.1277,-0.086
SE01-LS-3,water_balance,6,quiet,1336,0.0892,0.1223,0.0
SE01-LS-3,persistence,6,all,1401,0.1319,0.4267,0.0
SE01-LS-3,diurnal_drift,6,all,1401,0.1388,0.4286,-0.052
SE01-LS-3,water_balance,6,all,1401,0.1319,0.4267,0.0
SE01-LS-3,persistence,12,event,65,1.6494,2.4769,0.0
SE01-LS-3,diurnal_drift,12,event,65,1.6286,2.4743,0.0126
SE01-LS-3,water_balance,12,event,65,1.6494,2.4769,0.0
SE01-LS-3,persistence,12,quiet,1330,0.1384,0.1829,0.0
SE01-LS-3,diurnal_drift,12,quiet,1330,0.1477,0.1877,-0.0673
SE01-LS-3,water_balance,12,quiet,1330,0.1384,0.1829,0.0
SE01-LS-3,persistence,12,all,1395,0.2088,0.5637,0.0
SE01-LS-3,diurnal_drift,12,all,1395,0.2167,0.5647,-0.0379
SE01-LS-3,water_balance,12,all,1395,0.2088,0.5637,0.0
SE01-LS-3,persistence,24,event,65,2.1668,2.9297,0.0
SE01-LS-3,diurnal_drift,24,event,65,2.1662,2.9344,0.0003
SE01-LS-3,water_balance,24,event,65,2.1022,2.8206,0.0298
SE01-LS-3,persistence,24,quiet,1318,0.1888,0.2712,0.0
SE01-LS-3,diurnal_drift,24,quiet,1318,0.1767,0.2592,0.0639
SE01-LS-3,water_balance,24,quiet,1318,0.2084,0.3226,-0.1037
SE01-LS-3,persistence,24,all,1383,0.2818,0.6881,0.0
SE01-LS-3,diurnal_drift,24,all,1383,0.2702,0.6846,0.0409
SE01-LS-3,water_balance,24,all,1383,0.2974,0.6878,-0.0555
SE01-LS-3,persistence,48,event,65,3.1285,3.3353,0.0
SE01-LS-3,diurnal_drift,48,event,65,3.1345,3.3439,-0.0019
SE01-LS-3,water_balance,48,event,65,2.3836,2.71,0.2381
SE01-LS-3,persistence,48,quiet,1294,0.3698,0.515,0.0
SE01-LS-3,diurnal_drift,48,quiet,1294,0.3369,0.4955,0.0889
SE01-LS-3,water_balance,48,quiet,1294,0.3662,0.5053,0.0097
SE01-LS-3,persistence,48,all,1359,0.5018,0.8858,0.0
SE01-LS-3,diurnal_drift,48,all,1359,0.4708,0.8767,0.0618
SE01-LS-3,water_balance,48,all,1359,0.4627,0.771,0.0778
SE01-LS-4,persistence,6,event,31,1.3532,1.9487,0.0
SE01-LS-4,diurnal_drift,6,event,31,1.2709,1.8519,0.0608
SE01-LS-4,water_balance,6,event,31,1.3618,1.9325,-0.0063
SE01-LS-4,persistence,6,quiet,1370,0.0512,0.0802,0.0
SE01-LS-4,diurnal_drift,6,quiet,1370,0.133,0.159,-1.5961
SE01-LS-4,water_balance,6,quiet,1370,0.0516,0.0803,-0.0073
SE01-LS-4,persistence,6,all,1401,0.08,0.3005,0.0
SE01-LS-4,diurnal_drift,6,all,1401,0.1581,0.3172,-0.9761
SE01-LS-4,water_balance,6,all,1401,0.0806,0.2982,-0.0069
SE01-LS-4,persistence,12,event,31,2.2864,2.7271,0.0
SE01-LS-4,diurnal_drift,12,event,31,2.183,2.606,0.0452
SE01-LS-4,water_balance,12,event,31,2.2975,2.6678,-0.0048
SE01-LS-4,persistence,12,quiet,1364,0.0809,0.119,0.0
SE01-LS-4,diurnal_drift,12,quiet,1364,0.1802,0.2147,-1.2275
SE01-LS-4,water_balance,12,quiet,1364,0.0821,0.1217,-0.014
SE01-LS-4,persistence,12,all,1395,0.1299,0.4232,0.0
SE01-LS-4,diurnal_drift,12,all,1395,0.2247,0.4427,-0.7298
SE01-LS-4,water_balance,12,all,1395,0.1313,0.4155,-0.0104
SE01-LS-4,persistence,24,event,31,2.6878,2.9633,0.0
SE01-LS-4,diurnal_drift,24,event,31,2.762,3.0364,-0.0276
SE01-LS-4,water_balance,24,event,31,2.3514,2.654,0.1252
SE01-LS-4,persistence,24,quiet,1352,0.146,0.2586,0.0
SE01-LS-4,diurnal_drift,24,quiet,1352,0.088,0.2215,0.3975
SE01-LS-4,water_balance,24,quiet,1352,0.1618,0.3111,-0.1078
SE01-LS-4,persistence,24,all,1383,0.203,0.5121,0.0
SE01-LS-4,diurnal_drift,24,all,1383,0.1479,0.5046,0.2714
SE01-LS-4,water_balance,24,all,1383,0.2109,0.5025,-0.0387
SE01-LS-4,persistence,48,event,31,2.5977,2.8615,0.0
SE01-LS-4,diurnal_drift,48,event,31,2.7866,3.0414,-0.0727
SE01-LS-4,water_balance,48,event,31,1.8126,2.1883,0.3022
SE01-LS-4,persistence,48,quiet,1328,0.2899,0.4257,0.0
SE01-LS-4,diurnal_drift,48,quiet,1328,0.1558,0.3535,0.4627
SE01-LS-4,water_balance,48,quiet,1328,0.2899,0.4254,0.0003
SE01-LS-4,persistence,48,all,1359,0.3426,0.6032,0.0
SE01-LS-4,diurnal_drift,48,all,1359,0.2158,0.5771,0.3701
SE01-LS-4,water_balance,48,all,1359,0.3246,0.5349,0.0525
SE0X-LS-1,persistence,6,event,0,,,
SE0X-LS-1,diurnal_drift,6,event,0,,,
SE0X-LS-1,water_balance,6,event,0,,,
SE0X-LS-1,persistence,6,quiet,1401,0.0644,0.1346,0.0
SE0X-LS-1,diurnal_drift,6,quiet,1401,0.3231,0.4044,-4.015
SE0X-LS-1,water_balance,6,quiet,1401,0.0645,0.1335,-0.0012
SE0X-LS-1,persistence,6,all,1401,0.0644,0.1346,0.0
SE0X-LS-1,diurnal_drift,6,all,1401,0.3231,0.4044,-4.015
SE0X-LS-1,water_balance,6,all,1401,0.0645,0.1335,-0.0012
SE0X-LS-1,persistence,12,event,0,,,
SE0X-LS-1,diurnal_drift,12,event,0,,,
SE0X-LS-1,water_balance,12,event,0,,,
SE0X-LS-1,persistence,12,quiet,1395,0.0997,0.2112,0.0
SE0X-LS-1,diurnal_drift,12,quiet,1395,0.4172,0.487,-3.1832
SE0X-LS-1,water_balance,12,quiet,1395,0.1019,0.2085,-0.022
SE0X-LS-1,persistence,12,all,1395,0.0997,0.2112,0.0
SE0X-LS-1,diurnal_drift,12,all,1395,0.4172,0.487,-3.1832
SE0X-LS-1,water_balance,12,all,1395,0.1019,0.2085,-0.022
SE0X-LS-1,persistence,24,event,0,,,
SE0X-LS-1,diurnal_drift,24,event,0,,,
SE0X-LS-1,water_balance,24,event,0,,,
SE0X-LS-1,persistence,24,quiet,1383,0.154,0.3005,0.0
SE0X-LS-1,diurnal_drift,24,quiet,1383,0.2577,0.3901,-0.6735
SE0X-LS-1,water_balance,24,quiet,1383,0.1582,0.2899,-0.0276
SE0X-LS-1,persistence,24,all,1383,0.154,0.3005,0.0
SE0X-LS-1,diurnal_drift,24,all,1383,0.2577,0.3901,-0.6735
SE0X-LS-1,water_balance,24,all,1383,0.1582,0.2899,-0.0276
SE0X-LS-1,persistence,48,event,0,,,
SE0X-LS-1,diurnal_drift,48,event,0,,,
SE0X-LS-1,water_balance,48,event,0,,,
SE0X-LS-1,persistence,48,quiet,1359,0.2928,0.4359,0.0
SE0X-LS-1,diurnal_drift,48,quiet,1359,0.516,0.6642,-0.7622
SE0X-LS-1,water_balance,48,quiet,1359,0.2538,0.2978,0.1332
SE0X-LS-1,persistence,48,all,1359,0.2928,0.4359,0.0
SE0X-LS-1,diurnal_drift,48,all,1359,0.516,0.6642,-0.7622
SE0X-LS-1,water_balance,48,all,1359,0.2538,0.2978,0.1332
